Name,symbol,address,contract,decimals,coingecko,logo
Uniswap,UNI,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18,https://www.coingecko.com/en/coins/uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png
Binance Coin,BNB,https://etherscan.io/token/0xb8c77482e45f1f44de1745f52c74426c631bdd52,0xb8c77482e45f1f44de1745f52c74426c631bdd52,18,https://www.coingecko.com/en/coins/binancecoin,https://ethplorer.io/images/BNBb8c77482.png
AirSwap,AST,https://etherscan.io/token/0x27054b13b1b798b345b591a4d22e6562d47ea75a,0x27054b13b1b798b345b591a4d22e6562d47ea75a,4,https://www.coingecko.com/en/coins/airswap,https://ethplorer.io/images/airswap.png
Aavegotchi GHST Token,GHST,https://etherscan.io/token/0x3f382dbd960e3a9bbceae22651e88158d2791550,0x3f382dbd960e3a9bbceae22651e88158d2791550,18,https://www.coingecko.com/en/coins/aavegotchi,https://assets.coingecko.com/coins/images/12467/large/ghst_200.png
Origin Protocol,OGN,https://etherscan.io/token/0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,18,https://www.coingecko.com/en/coins/origin-protocol,https://ethplorer.io/images/OGN8207c1ff.jpg
SAND,SAND,https://etherscan.io/token/0x3845badade8e6dff049820680d1f14bd3903a5d0,0x3845badade8e6dff049820680d1f14bd3903a5d0,18,https://www.coingecko.com/en/coins/the-sandbox,https://ethplorer.io/images/SAND3845bada.jpg
Sora,XOR,https://etherscan.io/token/0x40fd72257597aa14c7231a7b1aaa29fce868f677,0x40fd72257597aa14c7231a7b1aaa29fce868f677,18,https://www.coingecko.com/en/coins/sora,https://ethplorer.io/images/XOR40fd7225.png
Cream,CREAM,https://etherscan.io/token/0x2ba592f78db6436527729929aaf6c908497cb200,0x2ba592f78db6436527729929aaf6c908497cb200,18,https://www.coingecko.com/en/coins/cream-2,https://ethplorer.io/images/CREAM2ba592f7.png
Aragon Court,ANJ,https://etherscan.io/token/0xcd62b1c403fa761baadfc74c525ce2b51780b184,0xcd62b1c403fa761baadfc74c525ce2b51780b184,18,https://www.coingecko.com/en/coins/anj,https://ethplorer.io/images/ANJcd62b1c4.png
Aragon,ANT,https://etherscan.io/token/0x960b236a07cf122663c4303350609a66a7b288c0,0x960b236a07cf122663c4303350609a66a7b288c0,18,https://www.coingecko.com/en/coins/aragon,https://ethplorer.io/images/ANT960b236a.png
wBTC,WBTC,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,https://www.coingecko.com/en/coins/wrapped-bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png
Band Protocol,BAND,https://etherscan.io/token/0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,18,https://www.coingecko.com/en/coins/band-protocol,https://ethplorer.io/images/band.png
Hegic,HEGIC,https://etherscan.io/token/0x584bc13c7d411c00c01a62e8019472de68768430,0x584bc13c7d411c00c01a62e8019472de68768430,18,https://www.coingecko.com/en/coins/hegic,https://ethplorer.io/images/HEGIC584bc13c.png
Keep Network,KEEP,https://etherscan.io/token/0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,18,https://www.coingecko.com/en/coins/keep-network,https://ethplorer.io/images/KEEP85eee30c.jpg
Rocket Pool,RPL,https://etherscan.io/token/0xb4efd85c19999d84251304bda99e90b92300bd93,0xb4efd85c19999d84251304bda99e90b92300bd93,18,https://www.coingecko.com/en/coins/rocket-pool,https://ethplorer.io/images/RPLb4efd85c.png
Robonomics Network,XRT,https://etherscan.io/token/0x7de91b204c1c737bcee6f000aaa6569cf7061cb7,0x7de91b204c1c737bcee6f000aaa6569cf7061cb7,9,https://www.coingecko.com/en/coins/robonomics-network,https://ethplorer.io/images/XRT7de91b20.png
renBTC,RENBTC,https://etherscan.io/token/0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,8,https://www.coingecko.com/en/coins/renbtc,https://ethplorer.io/images/renbtc.png
Frontier Token,FRONT,https://etherscan.io/token/0xf8c3527cc04340b208c854e985240c02f7b7793f,0xf8c3527cc04340b208c854e985240c02f7b7793f,18,https://www.coingecko.com/en/coins/frontier-token,https://assets.coingecko.com/coins/images/12479/large/frontier_logo.png
Offshift,XFT,https://etherscan.io/token/0xabe580e7ee158da464b51ee1a83ac0289622e6be,0xabe580e7ee158da464b51ee1a83ac0289622e6be,18,https://www.coingecko.com/en/coins/offshift,https://ethplorer.io/images/XFTabe580e7.png
ChartEx,CHART,https://etherscan.io/token/0x1d37986f252d0e349522ea6c3b98cb935495e63e,0x1d37986f252d0e349522ea6c3b98cb935495e63e,18,https://www.coingecko.com/en/coins/chartex,https://assets.coingecko.com/coins/images/12523/large/chartex.png
